Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
322,Ciro Immobile,82,82,83,67,78,39,73,ST,3,34,Italy,Trendyol Süper Lig,Beşiktaş,,,,,
322,Reece James,82,78,72,83,82,82,82,RB,3,24,England,Premier League,Chelsea,,,,,
322,Boubacar Kamara,82,66,54,74,75,83,80,CDM,3,24,France,Premier League,Aston Villa,,,,,
322,Franck Yannick Kessié,82,79,77,74,79,80,88,CDM,3,27,Côte d'Ivoire,ROSHN Saudi League,Al Ahli,,,,,
322,Randal Kolo Muani,82,90,80,71,81,38,67,ST,4,25,France,Ligue 1 McDonald's,Paris SG,,,,,
322,Filip Kostić,82,85,76,81,81,70,80,LM,3,31,Serbia,Serie A Enilive,Juventus,,,,,
322,Mohammed Kudus,82,90,77,73,86,60,75,RM,4,24,Ghana,Premier League,West Ham,,,,,
322,Dejan Kulusevski,82,75,77,80,83,57,80,RM,4,24,Sweden,Premier League,Spurs,,,,,
322,Alexandre Lacazette,82,70,84,76,83,44,75,ST,4,33,France,Ligue 1 McDonald's,OL,,,,,
322,Jeremías Conan Ledesma,82,82,79,75,83,46,81,GK,1,31,Argentina,Libertadores,River Plate,82.0,79.0,75.0,81.0,83.0
322,Bernd Leno,82,83,79,76,84,53,82,GK,1,32,Germany,Premier League,Fulham,83.0,79.0,76.0,82.0,84.0
322,Stanislav Lobotka,82,72,69,80,81,75,75,CM,3,29,Slovakia,Serie A Enilive,SSC Napoli,,,,,
322,Ademola Lookman,82,84,81,71,86,31,66,ST,4,26,Nigeria,Serie A Enilive,Bergamo Calcio,,,,,
322,Romelu Lukaku,82,79,82,73,74,38,82,ST,3,31,Belgium,Serie A Enilive,SSC Napoli,,,,,
322,Gianluca Mancini,82,71,45,56,64,83,85,CB,2,28,Italy,Serie A Enilive,AS Roma,,,,,
322,John McGinn,82,68,77,80,82,78,85,CM,3,29,Scotland,Premier League,Aston Villa,,,,,
322,Aleksandar Mitrović,82,64,82,62,73,28,88,ST,3,29,Serbia,ROSHN Saudi League,Al Hilal,,,,,
322,Nahuel Molina,82,85,67,75,78,78,71,RB,3,26,Argentina,LALIGA EA SPORTS,Atlético de Madrid,,,,,
322,Savinho,82,88,72,77,84,30,53,LW,4,20,Brazil,Premier League,Manchester City,,,,,
322,Thomas Müller,82,57,82,83,79,55,68,CAM,3,35,Germany,Bundesliga,FC Bayern München,,,,,
322,Darwin Núñez,82,90,80,72,78,46,86,ST,3,25,Uruguay,Premier League,Liverpool,,,,,
322,Michael Olise,82,80,77,82,84,53,56,RM,4,22,France,Bundesliga,FC Bayern München,,,,,
322,Oyarzabal,82,77,83,81,82,42,63,ST,3,27,Spain,LALIGA EA SPORTS,Real Sociedad,,,,,
322,Thomas Partey,82,62,71,80,77,79,82,CDM,3,31,Ghana,Premier League,Arsenal,,,,,
322,Tijjani Reijnders,82,80,76,80,84,73,74,CM,4,26,Holland,Serie A Enilive,Milano FC,,,,,
322,Fabián Ruiz,82,54,76,80,80,75,72,CM,4,28,Spain,Ligue 1 McDonald's,Paris SG,,,,,
322,Brice Samba,82,79,83,80,84,53,81,GK,1,30,France,Ligue 1 McDonald's,RC Lens,79.0,83.0,80.0,81.0,84.0
322,Sancet,82,73,77,80,84,70,82,CAM,4,24,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
322,Jadon Sancho,82,79,69,78,89,32,50,LM,5,24,England,Premier League,Chelsea,,,,,
322,Fabian Schär,82,51,68,77,74,84,79,CB,2,32,Switzerland,Premier League,Newcastle Utd,,,,,
322,Patrik Schick,82,74,81,71,81,37,76,ST,4,28,Czech Republic,Bundesliga,Leverkusen,,,,,
322,Luke Shaw,82,75,57,82,78,81,78,LB,3,29,England,Premier League,Man Utd,,,,,
322,Malcom,82,84,79,79,84,43,72,CAM,4,27,Brazil,ROSHN Saudi League,Al Hilal,,,,,
322,Chris Smalling,82,54,47,58,61,85,79,CB,2,34,England,ROSHN Saudi League,Al Fayha,,,,,
322,Alexander Sørloth,82,79,82,70,76,36,85,ST,3,28,Norway,LALIGA EA SPORTS,Atlético de Madrid,,,,,
322,Anderson Talisca,82,79,84,78,83,53,75,RM,4,30,Brazil,ROSHN Saudi League,Al Nassr,,,,,
322,Luis Suárez,82,64,85,78,77,41,75,ST,3,37,Uruguay,MLS,Inter Miami CF,,,,,
322,Niklas Süle,82,70,51,67,64,83,79,CB,3,29,Germany,Bundesliga,Borussia Dortmund,,,,,
322,Kevin Trapp,82,82,80,76,84,46,79,GK,1,34,Germany,Bundesliga,Frankfurt,82.0,80.0,76.0,79.0,84.0
322,Destiny Udogie,82,88,65,74,80,78,80,LB,3,21,Italy,Premier League,Spurs,,,,,
322,Dayot Upamecano,82,81,45,63,73,81,85,CB,3,25,France,Bundesliga,FC Bayern München,,,,,
322,Micky van de Ven,82,88,47,64,71,83,81,CB,3,23,Holland,Premier League,Spurs,,,,,
322,Raphaël Varane,82,73,49,64,69,83,77,CB,2,31,France,Serie A Enilive,Como,,,,,
322,Iñaki Williams,82,94,81,72,80,45,84,RM,4,30,Ghana,LALIGA EA SPORTS,Athletic Club,,,,,
458,Luciano Acosta,81,79,73,76,85,46,56,CAM,5,30,Argentina,MLS,FC Cincinnati,,,,,
458,Edson Álvarez,81,66,58,69,72,83,87,CDM,2,26,Mexico,Premier League,West Ham,,,,,
458,Yeray,81,64,49,70,65,83,76,CB,2,29,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
458,Waldemar Anton,81,69,46,65,67,81,83,CB,3,28,Germany,Bundesliga,Borussia Dortmund,,,,,
458,Alphonse Areola,81,82,77,74,83,55,80,GK,1,31,France,Premier League,West Ham,82.0,77.0,74.0,80.0,83.0
458,Marco Asensio,81,76,79,81,83,43,63,RW,4,28,Spain,Ligue 1 McDonald's,Paris SG,,,,,
458,Balde,81,91,48,73,78,75,64,LB,3,20,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
458,Rodrigo Bentancur,81,67,68,80,82,79,76,CM,4,27,Uruguay,Premier League,Spurs,,,,,
458,Álex Berenguer,81,85,75,75,83,64,68,LM,3,29,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
458,Sergio Busquets,81,37,61,77,78,78,73,CDM,3,36,Spain,MLS,Inter Miami CF,,,,,
458,Bryan Cristante,81,55,74,78,75,78,84,CM,3,29,Italy,Serie A Enilive,AS Roma,,,,,
458,Ricardo Horta,81,80,80,80,81,43,70,CAM,3,29,Portugal,Liga Portugal,SC Braga,,,,,
458,Rui Silva,81,82,76,77,84,31,81,GK,1,30,Portugal,LALIGA EA SPORTS,Real Betis,82.0,76.0,77.0,81.0,84.0
458,Matteo Darmian,81,72,62,75,76,80,75,RB,3,34,Italy,Serie A Enilive,Lombardia FC,,,,,
458,Jonathan David,81,82,81,71,78,34,75,ST,3,24,Canada,Ligue 1 McDonald's,LOSC Lille,,,,,
458,Richarlison,81,77,80,73,80,53,78,ST,4,27,Brazil,Premier League,Spurs,,,,,
458,Luuk de Jong,81,44,80,73,73,57,80,ST,3,34,Holland,Eredivisie,PSV,,,,,
458,Fred,81,75,71,79,82,75,78,CDM,4,31,Brazil,Trendyol Süper Lig,Fenerbahçe,,,,,
458,Eberechi Eze,81,78,81,78,84,49,69,CAM,4,26,England,Premier League,Crystal Palace,,,,,
458,Youssouf Fofana,81,69,68,74,77,78,80,CDM,3,25,France,Serie A Enilive,Milano FC,,,,,
458,Davide Frattesi,81,80,74,78,81,71,71,CM,3,24,Italy,Serie A Enilive,Lombardia FC,,,,,
458,Remo Freuler,81,60,72,76,77,77,74,CDM,4,32,Switzerland,Serie A Enilive,Bologna,,,,,
458,Conor Gallagher,81,73,75,78,78,77,81,CM,3,24,England,LALIGA EA SPORTS,Atlético de Madrid,,,,,
458,Alexandr Golovin,81,77,77,80,83,61,68,LM,4,28,Russia,Ligue 1 McDonald's,AS Monaco,,,,,
458,Pascal Groß,81,50,77,85,80,73,74,CDM,3,33,Germany,Bundesliga,Borussia Dortmund,,,,,
458,Marc Guéhi,81,72,39,65,72,82,77,CB,2,24,England,Premier League,Crystal Palace,,,,,
458,Dávid Hancko,81,78,66,72,74,81,80,CB,2,26,Slovakia,Eredivisie,Feyenoord,,,,,
458,Benjamin Henrichs,81,74,54,76,78,79,74,RB,3,27,Germany,Bundesliga,RB Leipzig,,,,,
458,Piero Hincapié,81,78,40,64,72,81,80,CB,3,22,Ecuador,Bundesliga,Leverkusen,,,,,
458,Ferdi Kadıoğlu,81,88,65,75,85,75,76,LB,4,24,Turkey,Premier League,Brighton,,,,,
458,Daichi Kamada,81,79,73,80,83,54,63,CAM,3,28,Japan,Premier League,Crystal Palace,,,,,
458,Presnel Kimpembe,81,74,43,67,69,81,82,CB,2,29,France,Ligue 1 McDonald's,Paris SG,,,,,
458,Orkun Kökçü,81,72,76,83,80,68,79,CM,3,23,Turkey,Liga Portugal,SL Benfica,,,,,
458,Ezri Konsa,81,76,48,71,76,83,78,CB,2,26,England,Premier League,Aston Villa,,,,,
458,Odilon Kossounou,81,80,32,64,67,82,80,CB,2,23,Côte d'Ivoire,Serie A Enilive,Bergamo Calcio,,,,,
458,Andrej Kramarić,81,71,83,79,84,33,73,ST,4,33,Croatia,Bundesliga,TSG Hoffenheim,,,,,
458,Takefusa Kubo,81,84,76,76,83,40,60,RW,4,23,Japan,LALIGA EA SPORTS,Real Sociedad,,,,,
458,Ruben Loftus-Cheek,81,81,76,79,82,77,83,CM,4,28,England,Serie A Enilive,Milano FC,,,,,
458,Andriy Lunin,81,80,78,77,82,37,80,GK,1,25,Ukraine,LALIGA EA SPORTS,Real Madrid,80.0,78.0,77.0,80.0,82.0
458,Iñigo Martínez,81,71,56,67,61,81,80,CB,2,33,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
458,Noussair Mazraoui,81,78,66,77,83,77,71,RB,3,26,Morocco,Premier League,Man Utd,,,,,
458,Brais Méndez,81,71,80,82,81,65,73,CM,4,27,Spain,LALIGA EA SPORTS,Real Sociedad,,,,,
458,Alex Meret,81,80,78,72,84,44,83,GK,1,27,Italy,Serie A Enilive,SSC Napoli,80.0,78.0,72.0,83.0,84.0
458,Arkadiusz Milik,81,56,82,72,77,40,72,ST,3,30,Poland,Serie A Enilive,Juventus,,,,,
458,Kaoru Mitoma,81,84,73,75,85,57,65,LM,4,27,Japan,Premier League,Brighton,,,,,
458,Fernando Muslera,81,81,81,71,80,35,82,GK,1,38,Uruguay,Trendyol Süper Lig,Galatasaray,81.0,81.0,71.0,82.0,80.0
458,Riccardo Orsolini,81,79,80,78,83,49,67,RM,4,27,Italy,Serie A Enilive,Bologna,,,,,
458,Stefan Ortega,81,79,77,86,84,52,81,GK,1,31,Germany,Premier League,Manchester City,79.0,77.0,86.0,81.0,84.0
458,Nicolás Otamendi,81,60,57,64,59,83,83,CB,2,36,Argentina,Liga Portugal,SL Benfica,,,,,
458,Isi Palazón,81,84,78,79,81,39,64,RM,3,29,Spain,LALIGA EA SPORTS,Rayo Vallecano,,,,,
458,Aaron Ramsdale,81,81,79,85,83,48,78,GK,1,26,England,Premier League,Southampton,81.0,79.0,85.0,78.0,83.0
458,Marcus Rashford,81,89,83,76,82,33,64,LM,5,26,England,Premier League,Man Utd,,,,,
458,David Raum,81,85,61,81,78,73,78,LB,3,26,Germany,Bundesliga,RB Leipzig,,,,,
458,Stefan Savić,81,63,35,57,57,83,79,CB,2,33,Montenegro,Trendyol Süper Lig,Trabzonspor,,,,,
458,Xaver Schlager,81,72,70,74,78,75,79,CDM,3,26,Austria,Bundesliga,RB Leipzig,,,,,
458,Jerdy Schouten,81,65,59,72,76,80,72,CDM,4,27,Holland,Eredivisie,PSV,,,,,
458,Ellyes Skhiri,81,60,73,74,75,80,76,CDM,3,29,Tunisia,Bundesliga,Frankfurt,,,,,
458,Milan Škriniar,81,57,45,60,65,83,80,CB,2,29,Slovakia,Ligue 1 McDonald's,Paris SG,,,,,
458,Dominic Solanke,81,75,81,66,78,29,83,ST,3,27,England,Premier League,Spurs,,,,,
458,David Soria,81,81,79,73,82,43,80,GK,1,31,Spain,LALIGA EA SPORTS,Getafe CF,81.0,79.0,73.0,80.0,82.0
458,Raheem Sterling,81,85,78,75,85,42,65,LM,4,29,England,Premier League,Arsenal,,,,,
458,Dominik Szoboszlai,81,82,80,84,80,59,70,CAM,4,23,Hungary,Premier League,Liverpool,,,,,
458,Youri Tielemans,81,44,79,83,79,69,70,CM,4,27,Belgium,Premier League,Aston Villa,,,,,
458,Manuel Ugarte,81,69,65,73,77,78,80,CDM,3,23,Uruguay,Premier League,Man Utd,,,,,
458,Deniz Undav,81,67,82,75,80,33,78,ST,3,28,Germany,Bundesliga,VfB Stuttgart,,,,,
458,Álvaro Valles,81,80,79,79,83,41,81,GK,1,27,Spain,LALIGA EA SPORTS,UD Las Palmas,80.0,79.0,79.0,81.0,83.0
458,Lucas Vázquez,81,81,74,80,81,74,69,RB,4,33,Spain,LALIGA EA SPORTS,Real Madrid,,,,,
458,Joey Veerman,81,55,72,85,77,66,72,CM,3,25,Holland,Eredivisie,PSV,,,,,
458,Vivian,81,79,48,57,69,82,81,CB,2,25,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
458,Callum Wilson,81,78,82,67,79,42,75,ST,3,32,England,Premier League,Newcastle Utd,,,,,
458,Lamine Yamal,81,82,75,76,82,23,48,RW,4,17,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
458,Wilfried Zaha,81,86,78,73,85,37,75,LM,5,31,Côte d'Ivoire,Ligue 1 McDonald's,OL,,,,,
458,Piotr Zieliński,81,78,76,80,83,71,62,CM,3,30,Poland,Serie A Enilive,Lombardia FC,,,,,
458,Zubimendi,81,64,67,75,77,78,71,CDM,3,25,Spain,LALIGA EA SPORTS,Real Sociedad,,,,,
577,Salem Al Dawsari,80,85,75,72,84,52,80,LM,4,33,Saudi Arabia,ROSHN Saudi League,Al Hilal,,,,,
577,Ali Al Musrati,80,62,66,71,71,78,84,CDM,2,28,Libya,Trendyol Süper Lig,Beşiktaş,,,,,
577,Jordi Alba,80,82,70,80,81,72,69,LB,3,35,Spain,MLS,Inter Miami CF,,,,,
577,Toby Alderweireld,80,50,61,74,66,81,82,CB,2,35,Belgium,1A Pro League,Royal Antwerp FC,,,,,
577,Joachim Andersen,80,52,57,72,66,79,84,CB,2,28,Denmark,Premier League,Fulham,,,,,
577,Benjamin André,80,61,64,73,75,78,83,CDM,3,34,France,Ligue 1 McDonald's,LOSC Lille,,,,,
577,Marko Arnautović,80,70,79,78,79,44,78,ST,4,35,Austria,Serie A Enilive,Lombardia FC,,,,,
577,Maximilian Arnold,80,63,79,79,77,76,76,CDM,3,30,Germany,Bundesliga,VfL Wolfsburg,,,,,
577,Fredrik Aursnes,80,76,66,77,80,76,81,RB,3,28,Norway,Liga Portugal,SL Benfica,,,,,
577,Simon Banza,80,75,80,56,76,36,77,ST,3,28,Congo DR,Liga Portugal,SC Braga,,,,,
577,Roberto Firmino,80,67,75,79,85,58,76,CAM,5,32,Brazil,ROSHN Saudi League,Al Ahli,,,,,
577,Bradley Barcola,80,88,74,75,81,34,64,LW,4,22,France,Ligue 1 McDonald's,Paris SG,,,,,
577,Harvey Barnes,80,85,78,75,81,43,68,LW,3,26,England,Premier League,Newcastle Utd,,,,,
577,Christoph Baumgartner,80,77,74,74,82,47,60,CAM,4,25,Austria,Bundesliga,RB Leipzig,,,,,
577,Walter Benítez,80,79,78,72,82,37,79,GK,1,31,Argentina,Eredivisie,PSV,79.0,78.0,72.0,79.0,82.0
577,Gonçalo Inácio,80,80,37,64,71,81,79,CB,2,23,Portugal,Liga Portugal,Sporting CP,,,,,
577,Yves Bissouma,80,71,67,75,81,78,77,CDM,4,28,Mali,Premier League,Spurs,,,,,
577,Daley Blind,80,36,62,83,77,83,70,CB,3,34,Holland,LALIGA EA SPORTS,Girona FC,,,,,
577,Denis Bouanga,80,85,81,74,79,38,79,LW,4,29,Gabon,MLS,LAFC,,,,,
577,Yan Couto,80,85,61,76,81,72,64,RM,3,22,Brazil,Bundesliga,Borussia Dortmund,,,,,
577,Alessandro Buongiorno,80,65,45,69,65,82,76,CB,2,25,Italy,Serie A Enilive,SSC Napoli,,,,,
577,Davide Calabria,80,78,57,70,76,79,71,RB,3,27,Italy,Serie A Enilive,Milano FC,,,,,
577,Lucas Chevalier,80,80,79,72,83,45,78,GK,1,22,France,Ligue 1 McDonald's,LOSC Lille,80.0,79.0,72.0,78.0,83.0
577,Samuel Chukwueze,80,88,74,74,83,36,61,RW,4,25,Nigeria,Serie A Enilive,Milano FC,,,,,
577,Jonathan Clauss,80,88,69,76,78,73,69,RB,3,31,France,Ligue 1 McDonald's,OGC Nice,,,,,
577,Kevin Danso,80,75,32,57,62,80,85,CB,2,25,Austria,Ligue 1 McDonald's,RC Lens,,,,,
577,Evanilson,80,76,78,65,78,37,80,ST,3,24,Brazil,Premier League,AFC Bournemouth,,,,,
577,De Marcos,80,79,64,74,75,77,78,RB,4,35,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
577,Michele Di Gregorio,80,82,78,78,82,56,82,GK,1,27,Italy,Serie A Enilive,Juventus,82.0,78.0,78.0,82.0,82.0
577,Eric Dier,80,58,63,70,63,81,81,CB,2,30,England,Bundesliga,FC Bayern München,,,,,
577,Jérémy Doku,80,92,72,73,86,30,68,LW,4,22,Belgium,Premier League,Manchester City,,,,,
577,Éderson,80,72,68,75,79,77,80,CM,3,25,Brazil,Serie A Enilive,Bergamo Calcio,,,,,
577,Wataru Endo,80,60,68,71,78,79,76,CDM,3,31,Japan,Premier League,Liverpool,,,,,
577,Pervis Estupiñán,80,78,57,75,79,77,75,LB,3,26,Ecuador,Premier League,Brighton,,,,,
577,Wladimiro Falcone,80,83,79,75,84,27,76,GK,1,29,Italy,Serie A Enilive,Lecce,83.0,79.0,75.0,76.0,84.0
577,João Félix,80,80,78,77,84,40,67,LW,5,24,Portugal,Premier League,Chelsea,,,,,
577,Suso,80,72,76,80,83,32,51,RM,4,30,Spain,LALIGA EA SPORTS,Sevilla FC,,,,,
577,Seko Fofana,80,71,77,76,78,73,86,CM,3,29,Côte d'Ivoire,ROSHN Saudi League,Ettifaq FC,,,,,
577,Juan Foyth,80,71,46,71,72,81,77,RB,3,26,Argentina,LALIGA EA SPORTS,Villarreal CF,,,,,
577,Javi Galán,80,79,56,74,79,77,72,LB,4,29,Spain,LALIGA EA SPORTS,Atlético de Madrid,,,,,
577,Pepelu,80,68,70,80,77,75,78,CM,3,26,Spain,LALIGA EA SPORTS,Valencia CF,,,,,
577,Nuno Santos,80,83,81,76,80,70,76,LM,5,29,Portugal,Liga Portugal,Sporting CP,,,,,
577,Joe Gomez,80,82,28,71,72,80,79,CB,3,27,England,Premier League,Liverpool,,,,,
577,Nicolás González,80,85,76,73,83,45,62,RW,4,26,Argentina,Serie A Enilive,Juventus,,,,,
577,Mario Götze,80,55,74,83,83,55,69,CAM,4,32,Germany,Bundesliga,Frankfurt,,,,,
577,Vincenzo Grifo,80,69,77,82,81,43,64,LM,4,31,Italy,Bundesliga,SC Freiburg,,,,,
577,Nemanja Gudelj,80,54,73,78,70,79,85,CB,3,32,Serbia,LALIGA EA SPORTS,Sevilla FC,,,,,
577,Albert Guðmundsson,80,87,79,70,83,37,72,ST,3,27,Iceland,Serie A Enilive,Fiorentina,,,,,
577,Mattéo Guendouzi,80,72,71,78,79,75,81,CM,4,25,France,Serie A Enilive,Latium,,,,,
577,Malo Gusto,80,88,49,75,78,73,75,RB,3,21,France,Premier League,Chelsea,,,,,
577,Miguel Gutiérrez,80,81,64,76,80,75,72,LB,2,23,Spain,LALIGA EA SPORTS,Girona FC,,,,,
577,Amadou Haidara,80,66,72,79,81,72,69,CM,3,26,Mali,Bundesliga,RB Leipzig,,,,,
577,Danilo Pereira,80,50,63,70,70,80,84,CB,3,33,Portugal,ROSHN Saudi League,Al Ittihad,,,,,
577,Jordan Henderson,80,64,72,81,76,75,78,CDM,3,34,England,Eredivisie,Ajax,,,,,
577,Morten Hjulmand,80,65,66,76,74,75,83,CDM,3,25,Denmark,Liga Portugal,Sporting CP,,,,,
577,Pierre-Emile Højbjerg,80,50,73,76,74,77,80,CDM,3,29,Denmark,Ligue 1 McDonald's,OM,,,,,
577,Ibañez,80,85,32,45,60,81,82,CB,2,25,Brazil,ROSHN Saudi League,Al Ahli,,,,,
577,Bento,80,79,76,77,83,28,81,GK,1,25,Brazil,ROSHN Saudi League,Al Nassr,79.0,76.0,77.0,81.0,83.0
577,Thomas Lemar,80,81,77,81,83,67,64,CM,4,28,France,LALIGA EA SPORTS,Atlético de Madrid,,,,,
577,Dominik Livaković,80,80,76,71,83,56,80,GK,1,29,Croatia,Trendyol Süper Lig,Fenerbahçe,80.0,76.0,71.0,80.0,83.0
577,Giovani Lo Celso,80,69,74,81,83,68,71,CAM,4,28,Argentina,LALIGA EA SPORTS,Real Betis,,,,,
577,David López,80,45,60,71,66,82,75,CB,2,34,Spain,LALIGA EA SPORTS,Girona FC,,,,,
577,Harry Maguire,80,37,57,70,65,80,82,CB,2,31,England,Premier League,Man Utd,,,,,
577,Reinildo,80,84,55,68,75,78,79,LB,3,30,Mozambique,LALIGA EA SPORTS,Atlético de Madrid,,,,,
577,Iván Martín,80,75,75,79,81,68,63,CAM,3,25,Spain,LALIGA EA SPORTS,Girona FC,,,,,
577,Nemanja Matić,80,35,67,76,76,78,78,CDM,3,36,Serbia,Ligue 1 McDonald's,OL,,,,,
577,Bryan Mbeumo,80,84,80,74,80,49,76,RW,4,25,Cameroon,Premier League,Brentford,,,,,
577,Facundo Medina,80,73,36,69,72,80,79,CB,3,25,Argentina,Ligue 1 McDonald's,RC Lens,,,,,
577,Édouard Mendy,80,78,77,75,81,34,79,GK,1,32,Senegal,ROSHN Saudi League,Al Ahli,78.0,77.0,75.0,79.0,81.0
577,Dries Mertens,80,68,78,81,81,43,50,CAM,4,37,Belgium,Trendyol Süper Lig,Galatasaray,,,,,
577,Daniel Muñoz,80,84,66,72,76,75,82,RB,2,28,Colombia,Premier League,Crystal Palace,,,,,
577,Vedat Muriqi,80,53,82,63,73,29,82,ST,3,30,Kosovo,LALIGA EA SPORTS,RCD Mallorca,,,,,
577,João Mário,80,68,76,80,82,64,68,LM,3,31,Portugal,Liga Portugal,SL Benfica,,,,,
577,Jesús Navas,80,81,68,79,80,76,55,RB,4,38,Spain,LALIGA EA SPORTS,Sevilla FC,,,,,
577,David Neres,80,86,75,75,86,43,64,LM,5,27,Brazil,Serie A Enilive,SSC Napoli,,,,,
577,Alexander Nübel,80,81,76,81,82,48,78,GK,1,27,Germany,Bundesliga,VfB Stuttgart,81.0,76.0,81.0,78.0,82.0
577,Mario Pašalić,80,69,78,77,81,67,77,CM,4,29,Croatia,Serie A Enilive,Bergamo Calcio,,,,,
577,Vangelis Pavlidis,80,75,82,67,78,44,82,ST,3,25,Greece,Liga Portugal,SL Benfica,,,,,
577,Matteo Politano,80,80,78,78,83,42,54,RW,4,31,Italy,Serie A Enilive,SSC Napoli,,,,,
577,Ivan Rakitić,80,48,79,83,77,74,70,CM,3,36,Croatia,Liga Hrvatska,Hajduk Split,,,,,
577,Amir Rrahmani,80,69,51,58,61,82,78,CB,2,30,Kosovo,Serie A Enilive,SSC Napoli,,,,,
577,Ruiz de Galarreta,80,72,65,77,79,77,76,CDM,3,31,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
577,Allan Saint-Maximin,80,89,72,73,87,29,68,LM,5,27,France,Trendyol Süper Lig,Fenerbahçe,,,,,
577,Davinson Sánchez,80,77,47,55,65,79,82,CB,2,28,Colombia,Trendyol Süper Lig,Galatasaray,,,,,
577,Diego Carlos,80,63,47,63,67,79,76,CB,3,31,Brazil,Premier League,Aston Villa,,,,,
577,Téji Savanier,80,60,76,84,82,68,68,CAM,4,32,France,Ligue 1 McDonald's,Montpellier,,,,,
577,Kasper Schmeichel,80,77,76,79,78,42,80,GK,1,37,Denmark,Scottish Prem,Celtic,77.0,76.0,79.0,80.0,78.0
577,William Carvalho,80,37,68,78,76,76,84,CDM,3,32,Portugal,LALIGA EA SPORTS,Real Betis,,,,,
577,Mohamed Simakan,80,75,43,65,69,81,80,CB,2,24,France,ROSHN Saudi League,Al Nassr,,,,,
577,Sebastian Szymański,80,81,77,79,79,51,67,CAM,3,25,Poland,Trendyol Süper Lig,Fenerbahçe,,,,,
577,Mehdi Taremi,80,78,79,75,81,38,73,ST,4,32,Iran,Serie A Enilive,Lombardia FC,,,,,
577,James Tarkowski,80,47,45,64,59,81,81,CB,2,31,England,Premier League,Everton,,,,,
577,Jean-Clair Todibo,80,81,47,64,69,80,78,CB,3,24,France,Premier League,West Ham,,,,,
577,Ivan Toney,80,77,81,71,75,51,81,ST,3,28,England,Premier League,Brentford,,,,,
577,Ferran Torres,80,84,78,76,81,35,68,LW,4,24,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
577,Hamari Traoré,80,82,57,72,76,75,78,RB,3,32,Mali,LALIGA EA SPORTS,Real Sociedad,,,,,
577,Lars Unnerstall,80,80,80,66,83,32,80,GK,1,34,Germany,Eredivisie,FC Twente,80.0,80.0,66.0,80.0,83.0
577,André Silva,80,74,80,71,81,46,77,ST,4,28,Portugal,Bundesliga,RB Leipzig,,,,,
577,Hans Vanaken,80,45,79,83,77,60,76,CAM,4,32,Belgium,1A Pro League,Club Brugge,,,,,
577,Jordan Veretout,80,75,75,78,79,75,80,CM,3,31,France,Ligue 1 McDonald's,OM,,,,,
577,Timo Werner,80,91,79,69,80,35,69,LM,3,28,Germany,Premier League,Spurs,,,,,
577,Mats Wieffer,80,70,66,74,75,76,83,CDM,3,24,Holland,Premier League,Brighton,,,,,
577,Axel Witsel,80,34,63,77,75,83,75,CB,3,35,Belgium,LALIGA EA SPORTS,Atlético de Madrid,,,,,
577,Barış Alper Yılmaz,80,91,75,71,82,67,84,RM,4,24,Turkey,Trendyol Süper Lig,Galatasaray,,,,,
577,Warren Zaïre-Emery,80,79,68,77,80,75,78,CM,3,18,France,Ligue 1 McDonald's,Paris SG,,,,,
577,André-Franck Zambo Anguissa,80,75,67,71,76,77,88,CDM,3,28,Cameroon,Serie A Enilive,SSC Napoli,,,,,
577,Lucas Zelarayán,80,71,77,79,83,46,67,CAM,4,32,Armenia,ROSHN Saudi League,Al Fateh,,,,,
577,Hakim Ziyech,80,74,77,82,80,50,66,RM,5,31,Morocco,Trendyol Süper Lig,Galatasaray,,,,,
577,Zubeldia,80,78,63,74,73,80,82,CB,2,27,Spain,LALIGA EA SPORTS,Real Sociedad,,,,,
736,Karim Adeyemi,79,96,73,71,81,34,70,LM,4,22,Germany,Bundesliga,Borussia Dortmund,,,,,
736,Nayef Aguerd,79,67,50,64,64,81,75,CB,2,28,Morocco,LALIGA EA SPORTS,Real Sociedad,,,,,
736,Rayan Aït-Nouri,79,84,52,73,82,73,70,LB,4,23,Algeria,Premier League,Wolves,,,,,
736,Raúl Albiol,79,33,41,62,63,83,67,CB,2,39,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
736,Kepa,79,78,77,83,82,40,77,GK,1,29,Spain,Premier League,AFC Bournemouth,78.0,77.0,83.0,77.0,82.0
736,Emil Audero,79,80,74,73,83,53,76,GK,1,27,Italy,Serie A Enilive,Como,80.0,74.0,73.0,76.0,83.0
736,Ezequiel Ávila,79,77,80,65,77,45,85,ST,3,30,Argentina,LALIGA EA SPORTS,Real Betis,,,,,
736,Azpilicueta,79,59,55,76,72,81,74,CB,2,35,Spain,LALIGA EA SPORTS,Atlético de Madrid,,,,,
